2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[29]------ ============处理前台请求开始=============== 
2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Balance/unionpay&bizType=000202&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/demo/utf8/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=2015032448485598&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150324175634&txnType=01&version=5.0.0 
2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >00eb259ae659376c77d8a36997e9c9cfd2023665 
2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >K7G2zW/DB6mvbpTVDZRXna3tg+ok/0DvHFDjjwxXhc/kFI+droF9iA/ySNJfjkPy8UG0Ls6pEIw0rTUYoBFIrDKwBSBMZkHcMGgk6XML0bTXHiMApXi13IzEt+G/iKVVhbGoRPwiaBdK3B6y8touRoxPwFrkub/k6sE/LP5cgbk= 
2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-24 17:56:34, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[57]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2015-03-24 17:56:35, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[60]------ 后台返回结果为>accessType=0&bizType=000202&certId=3474813271258769001041842579301293446&encoding=utf-8&merId=777290058111477&orderId=2015032448485598&reqReserved= 透传信息&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201503241756349544528&txnSubType=01&txnTime=20150324175634&txnType=01&version=5.0.0&signature=pUuBf4jkyk4naQzBRfPVgkNjIbiSr9GQ8Q/BN1lZWyfvGKCHWkxSe/ZcBS89mhF3UoSMAXbYKaoDg1fS8yRuB4PMAiEZxVEdRoqkF8AVFaF0DVjDSIJOKVLVlSpu7u2Px/p54EDcscHLwDQhuX+kQ6yxvckBMjPWex2DZjICDwPl+TCu5VEnLAI5LeR16HIYY1ZhU5UkuzL5j+1yCU9cF+2LXKbQPA3BmR5Ejd0/u9KDUu+tyiUcooX2FzQ9mKgNbE5cGdQgjVpo+cpTz8XlBhWIX5vET8J08/MRWZ/QBn3fMLB+GALm6x6SrRABLeStcw9M4saE2IjOYDEoazCzug== 
2015-03-24 18:01:31, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[29]------ ============处理前台请求开始=============== 
2015-03-24 18:01:31, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-24 18:01:31, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Balance/unionpay&bizType=000202&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/demo/utf8/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=2015032456575553&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150324180131&txnType=01&version=5.0.0 
2015-03-24 18:01:31, INFO, 183.13.156.150, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >614a4a76cc9fc2b463a26079d9c35fe96f7a131c 
