2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015041010253102&signMethod=01&txnAmt=188800&txnSubType=01&txnTime=20150410091234&txnType=01&version=5.0.0 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >1a95643843932646fcd17c4dbb4f13a2adec3838 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >F9cSaAV8NbPcSD2VvafRgTkTc5+G51G3R8ovkUZV3ESPOGvqSiOxzxXVGw4SX/teLyIFyKlhcYVaoiUeLv618C00mMiaRWBSA2NyNvGwNyPd+nJHdIfNFgPiZ8M6vFYHvKe9ZbMwma8J+rHnh0icER6TUlcFdCbNXsWlwWHWv1w9ILZdwRPhWIXrsWF8/8qcXeJLyPxNQRYMPwapIdYDy3yClsk32HM+bK1OxTFPoTGwRiF1QPA7sZRchm8bdJ4Zn4Pafx79H4cEIfZX6eYKlXRRpBxKIU/of6gYDzrvSImqgv6bVkbICCbwq29YSh1IzDatwbZD78b6WxPWjnMAag== 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-10 9:12:34, INFO, 183.13.162.128, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015041010253102&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504100912342624428&txnSubType=01&txnTime=20150410091234&txnType=01&version=5.0.0&signature=fBhXq0sh9mvF2qTC5Vvwn8r7QvE62kAl+REgNYCHD4MC0+5fvZ2ZSZ9vq/nf8KpazmuT4ACcFLrVHp4Ng2u7yM7ZFqzpV25TEHBNVZkCvquqD2j4NwRv+S7JEdQsPBUMPOrn7qTffCjMr6USzEL+3CX2f4I41EcwCnsDy/bgXCNBc+8N/w6k8vTdbVqsAI+fE/TXjhCR+s+33SfCeBD3nSEE1bIvEq0vVg1LeTlIdS7wVUJQKhtuGtxxtBqLZ5a+AB798nuylXMzJ21ghaZ2wKCuPFb7YI3xUlWYVLhVM+Ljvz3ENWefL/EItnJh4iBDSIZsd3806WZBIJ72/Qr1fQ== 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=生活服务订单&orderId=2015041098485151&signMethod=01&txnAmt=4900&txnSubType=01&txnTime=20150410112725&txnType=01&version=5.0.0 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >9de2b5725e0d8b841bf7560bc9debb04626f5c73 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >nnM41giTvuNk9qneAXMYsh/AlL3uVGESdWOxbNqYIBQd4lnNq6m0Y3kYv0PZgl2dc9s0O11MBehb4BPPiJ1d7V4CK9LruuKEWNi3/d/cJeWXuzfAnMxaRfsSYtkUY1vioQO0mgRZE54pNR3kL1I7WcDxDspk/GFM4CQVg+yFAYnadL5VjqdGzlpytk7gbRWkxYiG4br9QJkRqr6lZRhjYuG9TyU+XIGYS0LqlNX65zQK39MYTC0PoBCj+E2LCf3sqV/kv0cpMAC30fRCNS4LlZfhT+DhD7HBjGZqmrit3RvoB7aJHDG8FrZs7PkvHK1mPI+iMWVX8LEGRjXufONbAQ== 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-10 11:27:25, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015041098485151&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504101127257401628&txnSubType=01&txnTime=20150410112725&txnType=01&version=5.0.0&signature=Hw+bler6bfVd7e/qBTX72PcsJaPLLc5CUPPz3AtsmcUx0unuz0qoQeAydjtgOiXryubT8KLD0hqCrR4QBNKqU0eDu2+Wb+9yDDB3dd6YKCHtZtLFcBMclPtOam0SE4+Q8ZnIcvTMlYrPoG0nT+3g2DT4qTK9BejWrZnFQpeguFW+EuxypAR2NanFYxJl0mlkiYnTEQCkH2mUMqlm6xpq5GpGqnOj0X3g4Fj98Wsi34jgmcvRcul1cLDClVeOhXu8545Ou3v18lfDykNz9Z1tXhVUw0NwQKn/9rVlkztPiHdjmfiFn3gRJh9FrAkxqJqZONqI+193O643MScipac1Rw== 
2015-04-10 15:57:29, INFO, 14.17.18.147, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-10 15:57:29, INFO, 14.17.18.147, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
