2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[29]------ ============处理前台请求开始=============== 
2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Balance/unionpay&bizType=000202&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/demo/utf8/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=2015032597994998&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150325090741&txnType=01&version=5.0.0 
2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >060af19f4afaa0833af652a562fabc201d95a85e 
2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >g0JNOpVlIPRaV1K2yKqAdym3a6ceOifxW527GByKxbyKGGkwU7r4KlRDF3qRc5HhlqPbcQvMbH1fr/HuvQFArBd493Chl4qtnS+PX/MhrzTsJ18bQj0oj0tvIgh+GAoY3jSEPckpOgJbI1SLW8K7BDd3XZbbVQ0X+IP13AHeHUQ= 
2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-25 9:07:41, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[57]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2015-03-25 9:07:42, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[60]------ 后台返回结果为>accessType=0&bizType=000202&certId=3474813271258769001041842579301293446&encoding=utf-8&merId=777290058111477&orderId=2015032597994998&reqReserved= 透传信息&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201503250907419618888&txnSubType=01&txnTime=20150325090741&txnType=01&version=5.0.0&signature=ONummguaXUfim2tX2A81BLIAcjagjC0zN4qKR1m4FluFQWI+JOw/7BffxL7FCf+nIxshpy7a9AzUR5RmnOYnN/LsFgq0APE6OkfcsjuWhxV07SK3hMZn6cBxPIKeWW2BIAWnL+uDHMlaM4UxGbugPdNN06oV6E8yDKt35xdnVwvG8YovOe696cjGnovChKkEpgD/X3vJWA/5VIqjMUAKtXMPxeauHxwcBQWjfZWCPyJzC5idHoMZNx4+5i6U6Z0CocjkE/UA5465D53q19eruJwCh9341QXT6M+89tnBahw1Qtyky+VLHdrtQdztMcH7cdaQNFm+k1WWJ1SW+JrTvg== 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[29]------ ============处理前台请求开始=============== 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Balance/unionpay&bizType=000202&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/demo/utf8/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=2015032597994998&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150325090746&txnType=01&version=5.0.0 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >89d6e5b3970d13b9299ba6f9b01afe8a84eee9bd 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >MFysKVWK5wcANXp8gyaJzotRQpN6zuhxPILU9ypdftf9mcvTzgwicOq2cUlD9a7s5PnWFDfr70HHTYkynZGvcWjnSTLcRlNSsI7vX0ALoyRHeAqtfif3U0ereCYPtLvcJKBktWx0lMnBEZoiDG4/2XzXAssu9VFK3JHNkrDcuzk= 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-25 9:07:46, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[57]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2015-03-25 9:07:48, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[60]------ 后台返回结果为>accessType=0&bizType=000202&certId=3474813271258769001041842579301293446&encoding=utf-8&merId=777290058111477&orderId=2015032597994998&reqReserved= 透传信息&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201503250907419618888&txnSubType=01&txnTime=20150325090746&txnType=01&version=5.0.0&signature=GQr89wFqMCwysUDsfS7rBE8PWoo2eKVYE052QvlaShgOqPY8rmGRKS1jfFbogSNGbOMsPM+J2KNH1rPqb0QsOcDHFCyhkq+mu/Hiip7L3ItnLGqjjl6VMuTCKU33dAH81SbxlcLhIRAhBL2byotiGPFfwpq8x8rmZ3qLjKjhZ3KvfkVW3HZWCQ8KwppjFgrk1vSx4ApoiMx+kxFOYGyXHRNk0pvSFEBHPz0Wsfiu9UBNaGjEVFyhK1fLic1m3Lg1znieumm3dvCP1kLZhumOBpCwDmYvbAf2vo4geUkZKUAGwiM8/geT6h+V4gA3aFD9gRsmLFHdxtSyMxrnQaA3fw== 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[29]------ ============处理前台请求开始=============== 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Balance/unionpay&bizType=000202&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/demo/utf8/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=2015032510097485&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150325104104&txnType=01&version=5.0.0 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >c535a24623091cc8c60ca85b64ad5e6b4bac6098 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >bBMKfw/3bv97sT57CQK2k5X1AlCYDHIfRQ7hACzPRytFLE81M+Lp9NhtPaQn7DWAMrkpZYPwvTr0B6WfI5thhRnFtUXYgcYLmeJqKVdDROREN7AQV3hk4rNgqD+GO7AWPAt5XKliDW5Fb3HOiD++sGP1y+x6e+KYYzhbQqGDc/o= 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-25 10:41:04, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[57]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2015-03-25 10:41:05, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[60]------ 后台返回结果为>accessType=0&bizType=000202&certId=3474813271258769001041842579301293446&encoding=utf-8&merId=777290058111477&orderId=2015032510097485&reqReserved= 透传信息&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201503251041040379128&txnSubType=01&txnTime=20150325104104&txnType=01&version=5.0.0&signature=pltckU5Lqw16fjU5Y0i7LJkfrTXjPgrOct8mbbyqLzi1V9vypDZhcCWzVrYplv3JBJA987e9xYt0EbSat+h5U9wVPWeVDYKYF04iKHrBkx0QS3bgnnouYQjN28+kfIvBv3QXsdvm5emUUgqxjrcMkQkONWIreqrKCcMNaj+tToWEIkE+S0p/37CL4UnjvBGzY9603S4NGwhYvn9GKi2EtBs6LFqJ4lkuoJodyqjK+T1Xz6sOSCzoVKAb6AYd1NZ92rD6rrceabnhlCahy7JfDwbZoZZhyLRXvKhUDfC92VbgJ0MUK3eXXINpuzKWO7qrex8Js27voUZDNyUHzwYFBw== 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[30]------ ============处理前台请求开始=============== 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://114.82.43.123/unionpay/utf8/gbk/BackReceive.php&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/unionpay/utf8/gbk/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=20150325163512&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150325181938&txnType=01&version=5.0.0 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >5b4c5b17a15a3fb90eac1579f6da830c6d250392 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >eqJBARZVWPFvjhGAx2FCUKym9lI2q2lWEF2sp7w0Ko9TEq6u/Bu2WE670KrH7flvTpUxsj4K2K009O9RW2fV4r6isUVAMwGbgzTuFDeGh2yaRbmX38vySclhVjsSo8kRpO5N53a9xM3tUVIt4a4EDKRQSx5K3625x3fTKjmC7eI= 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-25 18:19:38, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[58]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2015-03-25 18:19:39, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[61]------ 后台返回结果为>accessType=0&bizType=000201&certId=3474813271258769001041842579301293446&encoding=utf-8&merId=777290058111477&orderId=20150325163512&reqReserved= 透传信息&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201503251642320405168&txnSubType=01&txnTime=20150325181938&txnType=01&version=5.0.0&signature=B0l4fEgzgGLx580uDKGNYYwC9VpYX+VxuqZsIQkXracURtdXzRz5EMKJ4qadSOtA6bJ2rj1ENhkR/C6kGNL9R2d6sWoQbjlleY9AT72eBD5K8Ut3iyQE0FjABuq6ve19vDMH2ZzlOn37aIXoUkR2kIXnTGA/oU4gdBf8Oj0g12ryixFpT3cWn2DsVeftXlothwEgjZufR+WNTy0dObirdbme87yMvvPX/ExBIHS5dLgog3u0jBB0INf0FJO2n0mibWXl1exQsRVte5wXH4N5JVFwkAfl4GKpyDeJOmjqOL1lLWlYjakZixxNZ+JiFOAiY/Njo2cDFvsfgKRFySW2zg== 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[30]------ ============处理前台请求开始=============== 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://114.82.43.123/unionpay/utf8/gbk/BackReceive.php&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/unionpay/utf8/gbk/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=20150325163512&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150325182014&txnType=01&version=5.0.0 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >df059728cf675076944e227483668ac82b18a31d 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >J6LGDBzPAerbU1PKThuRV3x7BPHyl/oEOOB5Mdf7+2MVXORGWJIh3xiPKjx12RycZYUfe3N3UbYK+NXpV3pw3NUqgqvkS1YFuWTlCN0rVTKLAuBHpUZdNqgErfieXEQ4d7DLcgxwBO1zYARj/U9nxY7XBAxM01Z0ZjqB890oVlc= 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-25 18:20:14, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[58]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2015-03-25 18:20:15, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[61]------ 后台返回结果为>accessType=0&bizType=000201&certId=3474813271258769001041842579301293446&encoding=utf-8&merId=777290058111477&orderId=20150325163512&reqReserved= 透传信息&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201503251642320405168&txnSubType=01&txnTime=20150325182014&txnType=01&version=5.0.0&signature=QrhRMhx52p05aO8Z/Gfx2nZv27tP6WcOSrFOjVs8jlGq6U6D12W5NcS/+emHjvuY1fOSYEwmpIZS022U+5uo4USbVCwofjx7MHhc5PbC5QE6gFCcsnK7UGzMzFNu8rf4/PTsVVA067/pTphy5gqtNmqCQ3qIg4O0ysyvYEJOkNj+i+j+Etzucszf+5K4qMZ1t3+znCNBCU0ViPbZRbDePZNeRQ5iF7bhyz7+W1iMIXPfy5ZP29jdgQ0qK2rKtJXkswdCRqGyxm9raQyGX3VH3vRNhlm0GLrSCpyZhYl7DVdPVZu0KXF+VB7cyvkRWFEtFlxCaF2aghUhJb3C+YovXA== 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[30]------ ============处理前台请求开始=============== 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://114.82.43.123/unionpay/utf8/gbk/BackReceive.php&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/unionpay/utf8/gbk/FrontReceive.php&merId=777290058111477&orderDesc=订单描述&orderId=2015032553991001&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150325182024&txnType=01&version=5.0.0 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >ec02156068d79cef510aafd0509f1df900f6ed74 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >AE8Um88Pt8PWlSaBg3W7r+77Ctyce0HpDVcTyPo/2SU1QgBg9gAMiD5/t/FQ9+T9MNGHc0dWM5mJKp6J/wvE92/RH1cLtM7wn12sBeHy1RWijwnuDa8Q+pbm0G1GPLJKxFYlRo/nZuc+VcObQhiSqEIuB5mA2SkKoqVFExDR11g= 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-03-25 18:20:24, INFO, 219.133.154.3, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[58]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
